date_key,date,year,quarter,year_quarter,month,month_name,year_month,week_iso,year_iso,week_start,week_end,day,day_name,is_weekend
20200114,2020-01-14,2020,1,2020 Q1,1,January,2020-01,3,2020,2020-01-13,2020-01-19,14,Tuesday,False
20200416,2020-04-16,2020,2,2020 Q2,4,April,2020-04,16,2020,2020-04-13,2020-04-19,16,Thursday,False
20200417,2020-04-17,2020,2,2020 Q2,4,April,2020-04,16,2020,2020-04-13,2020-04-19,17,Friday,False
20200418,2020-04-18,2020,2,2020 Q2,4,April,2020-04,16,2020,2020-04-13,2020-04-19,18,Saturday,True
20200419,2020-04-19,2020,2,2020 Q2,4,April,2020-04,16,2020,2020-04-13,2020-04-19,19,Sunday,True
20200420,2020-04-20,2020,2,2020 Q2,4,April,2020-04,17,2020,2020-04-20,2020-04-26,20,Monday,False
20200421,2020-04-21,2020,2,2020 Q2,4,April,2020-04,17,2020,2020-04-20,2020-04-26,21,Tuesday,False
20200422,2020-04-22,2020,2,2020 Q2,4,April,2020-04,17,2020,2020-04-20,2020-04-26,22,Wednesday,False
20200423,2020-04-23,2020,2,2020 Q2,4,April,2020-04,17,2020,2020-04-20,2020-04-26,23,Thursday,False
20200424,2020-04-24,2020,2,2020 Q2,4,April,2020-04,17,2020,2020-04-20,2020-04-26,24,Friday,False
20200425,2020-04-25,2020,2,2020 Q2,4,April,2020-04,17,2020,2020-04-20,2020-04-26,25,Saturday,True
20200426,2020-04-26,2020,2,2020 Q2,4,April,2020-04,17,2020,2020-04-20,2020-04-26,26,Sunday,True
20200427,2020-04-27,2020,2,2020 Q2,4,April,2020-04,18,2020,2020-04-27,2020-05-03,27,Monday,False
20200428,2020-04-28,2020,2,2020 Q2,4,April,2020-04,18,2020,2020-04-27,2020-05-03,28,Tuesday,False
20200429,2020-04-29,2020,2,2020 Q2,4,April,2020-04,18,2020,2020-04-27,2020-05-03,29,Wednesday,False
20200430,2020-04-30,2020,2,2020 Q2,4,April,2020-04,18,2020,2020-04-27,2020-05-03,30,Thursday,False
20200501,2020-05-01,2020,2,2020 Q2,5,May,2020-05,18,2020,2020-04-27,2020-05-03,1,Friday,False
20200502,2020-05-02,2020,2,2020 Q2,5,May,2020-05,18,2020,2020-04-27,2020-05-03,2,Saturday,True
20200503,2020-05-03,2020,2,2020 Q2,5,May,2020-05,18,2020,2020-04-27,2020-05-03,3,Sunday,True
20200504,2020-05-04,2020,2,2020 Q2,5,May,2020-05,19,2020,2020-05-04,2020-05-10,4,Monday,False
20200505,2020-05-05,2020,2,2020 Q2,5,May,2020-05,19,2020,2020-05-04,2020-05-10,5,Tuesday,False
20200506,2020-05-06,2020,2,2020 Q2,5,May,2020-05,19,2020,2020-05-04,2020-05-10,6,Wednesday,False
20200507,2020-05-07,2020,2,2020 Q2,5,May,2020-05,19,2020,2020-05-04,2020-05-10,7,Thursday,False
20200508,2020-05-08,2020,2,2020 Q2,5,May,2020-05,19,2020,2020-05-04,2020-05-10,8,Friday,False
20200509,2020-05-09,2020,2,2020 Q2,5,May,2020-05,19,2020,2020-05-04,2020-05-10,9,Saturday,True
20200510,2020-05-10,2020,2,2020 Q2,5,May,2020-05,19,2020,2020-05-04,2020-05-10,10,Sunday,True
20200511,2020-05-11,2020,2,2020 Q2,5,May,2020-05,20,2020,2020-05-11,2020-05-17,11,Monday,False
20200512,2020-05-12,2020,2,2020 Q2,5,May,2020-05,20,2020,2020-05-11,2020-05-17,12,Tuesday,False
20200513,2020-05-13,2020,2,2020 Q2,5,May,2020-05,20,2020,2020-05-11,2020-05-17,13,Wednesday,False
20200514,2020-05-14,2020,2,2020 Q2,5,May,2020-05,20,2020,2020-05-11,2020-05-17,14,Thursday,False
20200515,2020-05-15,2020,2,2020 Q2,5,May,2020-05,20,2020,2020-05-11,2020-05-17,15,Friday,False
20200516,2020-05-16,2020,2,2020 Q2,5,May,2020-05,20,2020,2020-05-11,2020-05-17,16,Saturday,True
20200517,2020-05-17,2020,2,2020 Q2,5,May,2020-05,20,2020,2020-05-11,2020-05-17,17,Sunday,True
20200518,2020-05-18,2020,2,2020 Q2,5,May,2020-05,21,2020,2020-05-18,2020-05-24,18,Monday,False
20200519,2020-05-19,2020,2,2020 Q2,5,May,2020-05,21,2020,2020-05-18,2020-05-24,19,Tuesday,False
20200520,2020-05-20,2020,2,2020 Q2,5,May,2020-05,21,2020,2020-05-18,2020-05-24,20,Wednesday,False
20200521,2020-05-21,2020,2,2020 Q2,5,May,2020-05,21,2020,2020-05-18,2020-05-24,21,Thursday,False
20200522,2020-05-22,2020,2,2020 Q2,5,May,2020-05,21,2020,2020-05-18,2020-05-24,22,Friday,False
20200523,2020-05-23,2020,2,2020 Q2,5,May,2020-05,21,2020,2020-05-18,2020-05-24,23,Saturday,True
20200524,2020-05-24,2020,2,2020 Q2,5,May,2020-05,21,2020,2020-05-18,2020-05-24,24,Sunday,True
20200525,2020-05-25,2020,2,2020 Q2,5,May,2020-05,22,2020,2020-05-25,2020-05-31,25,Monday,False
20200526,2020-05-26,2020,2,2020 Q2,5,May,2020-05,22,2020,2020-05-25,2020-05-31,26,Tuesday,False
20200527,2020-05-27,2020,2,2020 Q2,5,May,2020-05,22,2020,2020-05-25,2020-05-31,27,Wednesday,False
20200528,2020-05-28,2020,2,2020 Q2,5,May,2020-05,22,2020,2020-05-25,2020-05-31,28,Thursday,False
20200529,2020-05-29,2020,2,2020 Q2,5,May,2020-05,22,2020,2020-05-25,2020-05-31,29,Friday,False
20200530,2020-05-30,2020,2,2020 Q2,5,May,2020-05,22,2020,2020-05-25,2020-05-31,30,Saturday,True
20200531,2020-05-31,2020,2,2020 Q2,5,May,2020-05,22,2020,2020-05-25,2020-05-31,31,Sunday,True
20200601,2020-06-01,2020,2,2020 Q2,6,June,2020-06,23,2020,2020-06-01,2020-06-07,1,Monday,False
20200602,2020-06-02,2020,2,2020 Q2,6,June,2020-06,23,2020,2020-06-01,2020-06-07,2,Tuesday,False
